"slug","name","url","description","language","topics","stars","created_at","updated_at","archived","has_readme"
"whoami","whoami","https://github.com/adriens/whoami","Mon CV et profil en données structurées — knowledge graph personnel pour agents, embeddings et graph data science","Astro","curriculum, curriculum-vitae, resume, resume-website","0","2026-05-22","2026-05-24","False","True"
"avps","avps","https://github.com/adriens/avps","AVPs de la DRHFPNC","Python","","0","2026-04-28","2026-05-24","False","True"
"claude-commands","claude-commands","https://github.com/adriens/claude-commands","Set of (hopefully) useful Claude Skills","HTML","","0","2026-05-15","2026-05-24","False","True"
"edb-noumea-data","edb-noumea-data","https://github.com/adriens/edb-noumea-data","Repo de collecte automatique quotidienne des données sur la qualité des eaux de baignade à Nouméa","Python","csv, noumea, opendata, water-quality-analysis","0","2025-09-24","2026-05-22","False","True"
"geol-showcase","geol-showcase","https://github.com/adriens/geol-showcase","A set of resources to showcase what could be achieved with geol, datascience, AI and devsecops tools","TeX","devsecops, secops, security","0","2025-09-28","2026-05-20","False","True"
"auptitcafe-data","auptitcafe-data","https://github.com/adriens/auptitcafe-data","Menus  historisés du restaurant ""Au p'tit café"" , Nouméa, Nouvelle-Calédonie","Python","csv, data-science, duckdb, duckdb-database, noumea, nouvelle-caledonie, opendata","0","2023-05-28","2026-05-19","False","True"
"edb-noumea","edb-noumea","https://github.com/adriens/edb-noumea","SDK Python pour connaître la Qualité des Eaux de Baignade à Nouméa","Python","opendata, pandas, pandas-dataframe, water-quality","0","2025-09-06","2026-05-17","False","True"
"emploi-nc","emploi-nc","https://github.com/adriens/emploi-nc","Data des offre d'emploi de https://emploi.nc/","Python","","0","2026-05-09","2026-05-12","False","True"
"duckdb-brew","duckdb-brew","https://github.com/adriens/duckdb-brew","duckdb extension to report installed brew packages/casks/formulas with SQL","C++","brew, community, duckdb, extension, homebrew, sql, csv, dataengineering, datascience, parquet, reporting","1","2026-01-25","2026-03-24","False","True"
"odata-offres-emploi-drhfpnc","odata-offres-emploi-drhfpnc","https://github.com/adriens/odata-offres-emploi-drhfpnc","Les offfres de Emploi.gouv.nc en csv sur git!","","csv, employment, nouvelle-caledonie, opendata","0","2025-03-29","2026-03-24","False","True"
"task-gomplates","task-gomplates","https://github.com/adriens/task-gomplates","Ready-to-use gomplate templates to use around `Task` `yaml` files","","automation, documentation, golang, gomplate, markdown, mermaid, mermaid-diagrams, mermaidjs, template","1","2025-11-12","2026-03-09","False","True"
"odata-ncl","odata-ncl","https://github.com/adriens/odata-ncl","Ressources Open Data pour joindre des jeux de données open datas","TeX","","0","2023-02-03","2026-03-06","False","True"
"ollama-models","ollama-models","https://github.com/adriens/ollama-models","A collection of ready to use ollama models","","ai, chatbot, devops, llm, ollama","18","2023-12-27","2026-01-20","False","True"
