id,title,author,url,isbn,rating,average_rating,num_pages,date_read,published_year,shelf
3828902,Thinking In Systems: A Primer,Donella H. Meadows,https://www.goodreads.com/review/show/8681687743?utm_medium=api&utm_source=rss,1603580557,5,4.15,218,2026-07-12,2008,read
57974164,Stratégies de design UX: Accélérer l'innovation et réduire l'incertitude (French Edition),Antoine Visonneau,https://www.goodreads.com/review/show/5080023469?utm_medium=api&utm_source=rss,2212397313,5,5.00,277,2026-05-31,,read
6671664,Change by Design: How Design Thinking Transforms Organizations and Inspires Innovation,Tim    Brown,https://www.goodreads.com/review/show/8451396127?utm_medium=api&utm_source=rss,0061766089,5,3.88,272,2026-06-06,2009,read
198340232,"Unifying Business, Data, and Code: Designing Data Products with JSON Schema",Ron Itelman,https://www.goodreads.com/review/show/7220060755?utm_medium=api&utm_source=rss,1098145003,5,5.00,354,2025-07-06,,read
23463279,Designing Data-Intensive Applications,Martin Kleppmann,https://www.goodreads.com/review/show/8215477154?utm_medium=api&utm_source=rss,,5,4.70,562,2026-03-15,2015,read
10260,The Pleasure of Finding Things Out: The Best Short Works of Richard P. Feynman,Richard P. Feynman,https://www.goodreads.com/review/show/7367275913?utm_medium=api&utm_source=rss,,5,4.25,270,2026-02-16,1999,read
224786,Mindfulness,Ellen J. Langer,https://www.goodreads.com/review/show/7443618045?utm_medium=api&utm_source=rss,0201523418,5,3.77,256,2026-02-16,1989,read
40725353,The Artist's Journey: The Wake of the Hero's Journey and the Lifelong Pursuit of Meaning,Steven Pressfield,https://www.goodreads.com/review/show/5209455670?utm_medium=api&utm_source=rss,1936891565,5,4.12,194,2026-02-16,2018,read
44135420,Team Topologies: Organizing Business and Technology Teams for Fast Flow,Matthew    Skelton,https://www.goodreads.com/review/show/7938821673?utm_medium=api&utm_source=rss,1942788827,5,4.14,240,2026-02-16,2019,read
7108725,Start with Why: How Great Leaders Inspire Everyone to Take Action,Simon Sinek,https://www.goodreads.com/review/show/5941375356?utm_medium=api&utm_source=rss,1591842808,5,4.10,256,2025-11-24,2009,read
421728,The Power of Mindful Learning,Ellen J. Langer,https://www.goodreads.com/review/show/7443617478?utm_medium=api&utm_source=rss,0201339919,5,3.76,192,2025-06-21,1997,read
214637385,"Dots and Lines: Hidden Networks in Social Media, AI, and Nature",Anthony Bonato,https://www.goodreads.com/review/show/7689949542?utm_medium=api&utm_source=rss,1421451263,5,4.07,288,2025-09-23,,read
46223297,Permanent Record,Edward Snowden,https://www.goodreads.com/review/show/6998135542?utm_medium=api&utm_source=rss,1250237238,5,4.29,339,2025-01-13,2019,read
