id,title,url,published_at,duration_seconds,views,likes,tags
tPihPZRfh2A,"🤯 HELIA :Etude complète Open Innovation : télémétrie, éditiques, SLAs, DORA, B2B APIGEE, chatbot,IoT",https://youtu.be/tPihPZRfh2A,2026-06-01,3939,3,,
hnn5J3qbDyU,Reachy Mini s'inquiete pour mon forfait Telecom HELIA,https://youtu.be/hnn5J3qbDyU,2026-05-31,398,5,,
KFfIgERRjA4,#NODES24 - Call For Paper (full edition),https://youtu.be/KFfIgERRjA4,2026-05-31,1389,2,,
8H5msX4Qp1E,#NODES24 - Call For Paper (shortest edition),https://youtu.be/8H5msX4Qp1E,2026-05-31,512,4,,
9MxVcMB_RWE,#NODES24 - Call For Paper (medium edition),https://youtu.be/9MxVcMB_RWE,2026-05-31,1103,1,,
yfkjFV42FmY,⏱️ Trouver et candidater au poste qui matche à l'OPT-NC avec le MCP et Claude en 20',https://youtu.be/yfkjFV42FmY,2026-05-21,1439,16,,
Rui7jSKNJNk,🧞‍♂️Transform unstructured PDFs Job Offers into a well structured dataset w. gemma4:2b,https://youtu.be/Rui7jSKNJNk,2026-05-18,1379,52,2,
orrWgE9-ad4,📱 Cherche et trouve le poste qui matche tes compéténces à l'OPT-NC via une app HuggingFace 🤗,https://youtu.be/orrWgE9-ad4,2026-05-17,176,32,1,
N6BZIq9Z7cs,📱 Trouver et candidater à un AVP typé K8S depuis le mobile en 10',https://youtu.be/N6BZIq9Z7cs,2026-05-03,752,40,1,
0havqKL-Suo,⏳ End Of Life automation w. geol github action,https://youtu.be/0havqKL-Suo,2026-04-29,719,22,,
iRfW13FleGE,geol - logo automation & creative journey with pure code,https://youtu.be/iRfW13FleGE,2026-03-10,1286,18,,
M3iiRXKgz60,📊 Les Attaques de requins en Nouvelle-Calédonie en data,https://youtu.be/M3iiRXKgz60,2026-03-04,2046,86,,
4YQoeajyMHA,"⏱️ Attaques de Requin en NCL: analyses, faits et opportunités de Smartcity",https://youtu.be/4YQoeajyMHA,2026-03-03,365,70,,
SojNndY8vrk,endoflife.date as SQLite with geol 2.8.0,https://youtu.be/SojNndY8vrk,2026-03-02,787,11,,
T_L1jk6p6jo,geol explained in 1',https://youtu.be/T_L1jk6p6jo,2026-02-26,60,11,,
G_x2Aven5Yg,Exploring endoflife.date w. SQL - geol duckdb export and Quarto,https://youtu.be/G_x2Aven5Yg,2026-02-22,1051,39,2,
-BkiKuB1noI,🏆 DEV Challenge - Finally a duckdb community extension for brew/homebrew,https://youtu.be/-BkiKuB1noI,2026-02-04,1800,55,,
9AcIMW99-8s,geol v2.3.0 - export endoflife.date to duckdb,https://youtu.be/9AcIMW99-8s,2026-01-05,1173,46,,
JHWafHI52D8,geol documentation on docusaurus ?,https://youtu.be/JHWafHI52D8,2025-12-29,1132,23,1,
wbztvu-Kfxs,🎅 Chilling session bain de Noël en data,https://youtu.be/wbztvu-Kfxs,2025-12-23,168,16,,
A9I1-QZfajw,📱 OPT NC Démo Temps Attente Agence mobile,https://youtu.be/A9I1-QZfajw,2025-12-20,109,34,,
n1oRicJaNr4,Et si on avait une API REST pour l'éligibilite fibre en Nouvelle-Ccalédonie ?,https://youtu.be/n1oRicJaNr4,2025-12-16,996,34,2,
VhCZFc0Uvg4,📊 Produire le reporting annuel d'activite Github  developpeurs... en Rmarkdown,https://youtu.be/VhCZFc0Uvg4,2025-12-11,879,15,,
pk12RZIGOZE,Une affiche en Rmarkdown pour la Qualité des Eaux de Baignade de la Baie des Citrons à Nouméa,https://youtu.be/pk12RZIGOZE,2025-12-07,580,19,1,
rzojwTwwZVI,Un TUI pour les adresses de Nouvelle-Calédonie,https://youtu.be/rzojwTwwZVI,2025-12-04,1126,97,3,
SX09XdaX-kU,Go TUI + Water Quality - How I Hacked Nouméa Beaches,https://youtu.be/SX09XdaX-kU,2025-11-26,1361,120,3,
eJn12eJZZAI,🤗 2025 UNC MIAGE  - Feedbacks pédagogie,https://youtu.be/eJn12eJZZAI,2025-11-24,147,21,,
vuTck3IxXfw,⏳ geol  Fin de vie logicielle ci cd distrobox - v1.3.0 - full edition,https://youtu.be/vuTck3IxXfw,2025-11-19,351,48,,
fprAQzcZZrY,"🎙️ geol podcast  - inception, benefits, devops and roadmap",https://youtu.be/fprAQzcZZrY,2025-11-17,888,44,1,
ZqiXogK2fSw,"⏳ geol - Gérer la fin de vie (notebookLM slideshow) v1.3.0 - ""for dummies""  edition",https://youtu.be/ZqiXogK2fSw,2025-11-13,263,59,3,
yCZRgAiQt9s,📢 geol 1.3.0 unboxing - the check command,https://youtu.be/yCZRgAiQt9s,2025-11-08,2716,25,,
2Qe4QswlllY,🐋 Run any version of any OS on any architecture anywhere w.distrobox,https://youtu.be/2Qe4QswlllY,2025-11-08,803,49,1,
vhFXWGqB_-g,📢 MVP Unboxing geol - a devops secops cli to manage EOLs and product lifecycle,https://youtu.be/vhFXWGqB_-g,2025-11-03,3715,46,,
WJUKcYsJQ8A,✉️ Les codes postaux et BPs de Nouvelle-Calédonie en API as a Service,https://youtu.be/WJUKcYsJQ8A,2025-10-06,792,33,2,
ddqJ-ZAlk9U,Colis NC   Démo AR,https://youtu.be/ddqJ-ZAlk9U,2025-09-25,106,7,,
suVkKJ_nNGI,📊 Se baigner malin à Nouméa avec de la data 🧫,https://youtu.be/suVkKJ_nNGI,2025-09-23,2592,60,,
z6Y9LiBQ-yU,"🗝️ Create and send passwords by sms with a ""burn after reading option""",https://youtu.be/z6Y9LiBQ-yU,2025-09-14,271,43,1,
